Arc'teryx Alpha FL 45L,23,Base
cuben fiber bivy sack,4.5,Base
R2.6 thermarest z-rest 80% cut pad 51",8,Base
Zpacks pillow,1.4,Base
Marmot Phase 20 short,24,Base
Zpacks stuff sack (for sleeping bag),0.6,Base
contact lens solution + case + backup lenses,1,Base
compass/whistle +  topo,2,Base
mini-towel,0,Base
hand sanitizer/lighter/emergency headlamp/extra toilet paper,2,Base
sunscreen/chapstick/toothbrush/earplugs,3,Base
Cleanwaste GO anywhere toilet kit,2.6,Base
[G] hand warmer pair (emergency, only need 1 pair total),2,Base
[G] blister kit,0.3,Base
[G] First aid kit,4,Base
R3.2 thermarest x lite 3-season pad + repair kit + 2mm cord instead of stuff sack,12,Base
Zpacks foam sit pad,1,Base
Osprey Variant 52 2019,37,Base
Patagonia Ascensionist 30L,24,Base
camp tent only + stuff sack,0,Base
Camp tent poles + bag + guylines,0,Base
Zpacks Triplex Tent and guylines (no stakes),32,Base
CF long stake set of 4,4,Base
thermarest x therm pad,23,Base
R3.2 thermarest x lite 3-season pad,13.5,Base
R2.6 Therm-a-Rest Z-Lite 80% cut pad 72",11,Base
R5.7 Therm-a-Rest NeoAir X-Therm Large,20,Base
R2.8 Therm-a-Rest Ridge Rest SOLite Large uncut,19,Base
Thermarest hyperion 20 long + stuff sack,23,Base
white pillow blanket,7.5,Base
DEET / bug spray,8,Base
reflective SOL bivy,3,Base
mini down WM booties (optional, but useful for bivy),2,Base
Blue Ice Choucas Pro harness (small),3,Technical
[G] cam rack:UL C4(.5 -> 2) + TCU (blue, yellow) + X4 (0.2) + biners,34,Technical
[G] passive rack: 4x dmm walnuts + 4x small bd nuts + oval racking biner +pink tricam,9.5,Technical
Grivel Air Tech Light crampons,21.6,Technical
camp corsa nanotech 50 cm,9,Technical
Mammut Wallrider helmet,8,Technical
[G] cordelette 20 ft (doubles as bail cord.) Racked on harness (biner not included),6,Technical
small ATC guide,2.6,Technical
dmm revolver (on camera),2.2,Technical
Grivel Plume K3N (on camera),1.3,Technical
Petzl HMS locking biner,2,Technical
Grivel Tau locking biner,1.8,Technical
rap kit (Grivel Plume K3N + 120cm sling + hollow block),3.3,Technical
Wild Country nut tool,2.5,Technical
[G] 60m rope, e.g. Sterling Nano 9.0,110,Technical
[G] wiregate biners for rack (9 passives total. Assume using 7-8 at most on a pitch. That's 14-16 biners for alpine draws. Then still have cams that can take up the remaining 4-5 slings, which means 4-5 more biners,12.8,Technical
[G] mammut single sling (could consider 5 and 5, but these are really light; extra doesn't weigh much),3.6,Technical
[G] mammut double sling,7.2,Technical
[B] knife,1.4,Technical
Black Diamond Alpine Carbon Cork trekking pole,8.7,Technical
Blue Ice Choucas Pro harness,4,Technical
rack of norm + ultralight C4 cams (.5 X4, .75 UL4, 1 UL4, 2 UL4, 3 UL4) + biners,28,Technical
rack of norm C4 cams (.5 X4, .75 X4, 1 C4, 2 C4) + biners,22,Technical
TCU blue + yellow + biners,6.7,Technical
